ObjectID_common_goods,GlobalID_common_goods,Cost_of_common_good_price,ObjectID_litter,GlobalID_litter,Environmental_quality_index_litter,Distance
146,85efb9f6-76ab-4033-8543-3b885aaf5270,2.35,477,c81dd508-0457-44d5-88d0-e193d8daa64b,2.0,7.157207380329908e-05
156,fdad59a6-9643-4dfd-890b-1fdc82dd69eb,1.75,159,94cc0f94-63ea-4f68-8d82-2995558bb617,2.0,2.4754128255114605e-05
170,aa16c961-f9ec-4eae-8a7e-bdb6b933015f,3.2,187,21434e7a-875c-4387-8af9-d4f9274556f5,3.0,0.00017154772251282236
172,9a352fbf-46a7-4252-b1a7-94434a6b4c78,1.70591,261,2bbba212-43e1-4f62-8691-bc1da772c504,4.0,0.0004010404140404256
183,b7abf136-c339-4a43-86c4-da60a0d627bd,1.79,187,21434e7a-875c-4387-8af9-d4f9274556f5,3.0,0.00011720111910358773
208,c2cbe947-c699-43c4-896a-db6283cf200e,0.99,229,0dc0d448-40a1-4d08-8746-2bd476716523,4.0,0.00019001644622613072
209,2ac20c79-f7ea-4231-a745-6e250a1227b8,3.25,261,2bbba212-43e1-4f62-8691-bc1da772c504,4.0,0.0013570103982207499
236,beecbad0-1a37-40ee-8656-ba3014f57fbe,2.59,261,2bbba212-43e1-4f62-8691-bc1da772c504,4.0,0.00037738911281816285
246,3279bfcb-df2f-4a41-b058-2fd10946c720,2.5,261,2bbba212-43e1-4f62-8691-bc1da772c504,4.0,0.001250548848743707
251,40ba973c-267c-4fc7-8b5b-c2229b0e9002,2.25,261,2bbba212-43e1-4f62-8691-bc1da772c504,4.0,0.0007963293272039538
489,b712a8c2-d8cf-447f-ad32-45d4e2a13283,3.60591,187,21434e7a-875c-4387-8af9-d4f9274556f5,3.0,0.00019284250466744063
502,1836f261-442e-4470-9a87-9f0918c5264f,2.25,230,838187f0-557d-44e9-8691-5455007a44ab,0.0,0.00022307886681678803
503,f4543640-ee31-4271-a5af-9fbb6d97e41d,2.6,265,e4ce1d2c-ce3f-4d23-840f-4dbdf5444b9e,4.0,0.0005141038788727334
505,10b7db77-7b68-4c13-a424-022286eea050,2.35,505,10b7db77-7b68-4c13-a424-022286eea050,1.0,0.0
506,9e53e593-3f8b-4932-8b9f-3502b40704ef,1.87,265,e4ce1d2c-ce3f-4d23-840f-4dbdf5444b9e,4.0,0.0005141038788727334
507,327bafc7-4e03-47e5-b395-96bdb401aa3a,0.99,265,e4ce1d2c-ce3f-4d23-840f-4dbdf5444b9e,4.0,0.0005141038788727334
515,65ddad68-c064-4903-a8b6-7175d67598ee,2.5,481,bac542d5-08c5-4603-8273-6c57c88805f1,4.0,0.0003998723022060862
516,d74e4357-7fb1-4d6d-9498-12b8f1cdc237,1.58,187,21434e7a-875c-4387-8af9-d4f9274556f5,3.0,0.0003067394000042562
