ObjectID_pedestrian,GlobalID_pedestrian,Avg_Pedestrian_Count,ObjectID_decibel,GlobalID_decibel,Avg_Decibel,Distance
301,24ee82e1-fa9c-41cc-8352-96a05f74435e,11.5,347,c99d9393-e0a6-4766-8c18-4ac7e78adf07,58.95,0.00015938351632436727
314,e4f03d00-dc50-4913-8daf-fb90ddc32504,4.0,383,97a836bb-1fbe-48dc-8672-8607a8d8520c,58.325,0.00018941760649201584
329,2e959222-a381-4395-8937-1316597586a9,12.5,383,97a836bb-1fbe-48dc-8672-8607a8d8520c,58.325,0.00020776830639133328
342,f60fa741-6e13-4ef5-8285-68954071fed3,7.0,403,c0c24974-f4ba-4f92-8c5e-4b7d6527b1f2,61.4,0.00019301153737318768
353,520b759e-43af-4951-8fd9-b28a67525e92,5.5,338,d226b4d7-4919-4452-8c28-76fd3aa45417,64.925,0.001368707600655121
360,c01a34d7-2f88-4511-8e0c-9dc2ec9f9b9c,32.5,424,817fb6f6-1b47-4da8-87bd-c2c9210ffd3a,61.8,0.00048270238841890473
370,902bd303-de83-44fd-8004-f5457620a969,10.0,389,ad84d2e8-7484-449a-8296-dd38ea568027,64.125,0.0002444299449567962
374,09e274f6-8bec-4d6b-8a81-17d15687836f,27.0,402,547597d5-5535-4b38-8f3f-5a365db2569a,57.85,0.0003294432692373499
387,2cfd0e17-1808-4eab-8492-2c282c9a1297,7.0,389,ad84d2e8-7484-449a-8296-dd38ea568027,64.125,0.00028524670198783663
396,60451607-68c2-4453-8c89-b05bc662169a,4.5,366,16edf068-1e13-4eb2-8485-ba97ca77e4d8,63.35,0.0003901858375458007
