ObjectID_pedestrian,GlobalID_pedestrian,Avg_Pedestrian_Count,ObjectID_decibel,GlobalID_decibel,Avg_Decibel,Distance
32,9f131a51-7e23-42ee-8598-1823eef26725,2.5,78,4e823734-e37c-42e0-81d3-2a4ff4478340,61.825,0.00011846825681549609
33,a9b42b19-a863-4e3d-89e3-207d5a8215a3,7.0,15,b5cfb7fb-86cf-4652-8205-b731bed530ac,64.8,3.521278971010084e-05
68,859edd5a-ab22-4686-850a-f5806f5302d8,3.0,108,fa8e4f0d-0458-43f3-8f60-1bc9a07831b5,63.975,0.00023946145175710924
80,70ba21b7-5a0a-4ad7-889d-b4c2402ae284,1.5,108,fa8e4f0d-0458-43f3-8f60-1bc9a07831b5,63.975,0.00016460316823125728
99,457449f5-6088-4a90-82bb-3583898f8534,3.0,108,fa8e4f0d-0458-43f3-8f60-1bc9a07831b5,63.975,0.0002532256210679066
115,a8500f14-6a69-4aa3-8b52-71da9148cc63,3.5,108,fa8e4f0d-0458-43f3-8f60-1bc9a07831b5,63.975,0.0003837447763291281
139,eba21ffe-7773-495c-8ba4-aaeebe20a645,9.0,134,e3a3febd-724a-4675-8999-ff50285fbec7,65.275,0.00034425072258579214
148,fe658105-cb63-445b-a846-172f92c5b89d,3.0,77,584ed8e7-74e0-43c4-8e31-08a531a49476,63.675,0.002418845752603093
