ObjectID_common_goods,GlobalID_common_goods,Cost_of_common_good_price,ObjectID_litter,GlobalID_litter,Environmental_quality_index_litter,Distance
5,abcb0c07-5fec-4b13-ae1f-242e488743df,0.69,27,0cc9708a-6c5f-4129-86d8-d26c89631f67,4.0,0.00012364956821724984
8,711106ff-7b06-4851-88be-2d6172d42849,0.79,27,0cc9708a-6c5f-4129-86d8-d26c89631f67,4.0,0.00015794074687081782
39,bd743598-4414-4878-8a05-081851d29558,3.25,9,5e7b37d6-f32e-423c-8b0a-adcc0c9ebd69,4.0,0.002013144358496954
44,e8cc7b20-4a8f-477f-a9de-4869d8b3e0b3,2.49,9,5e7b37d6-f32e-423c-8b0a-adcc0c9ebd69,4.0,0.0026398647326605356
48,21a41207-a37a-4bcb-8812-53ef2e35977a,2.6,9,5e7b37d6-f32e-423c-8b0a-adcc0c9ebd69,4.0,0.001712852813335206
90,f772d4bf-a4cc-40d7-8763-631af6a5e873,4.8,9,5e7b37d6-f32e-423c-8b0a-adcc0c9ebd69,4.0,0.0036765999100149896
126,d623718a-158a-4295-841c-2a3f86e81ea0,0.89,9,5e7b37d6-f32e-423c-8b0a-adcc0c9ebd69,4.0,0.0025521121656927
128,5132f1a5-e500-4eca-a86e-82660604dfbe,2.49,9,5e7b37d6-f32e-423c-8b0a-adcc0c9ebd69,4.0,0.004874659476917283
455,ab7856b0-06d1-4de6-b041-68cee6da6210,2.5,4,9b80db6e-2c8f-4e9d-8ab7-32dbd6ac2c41,4.0,0.0002650481073612918
456,d9aeb185-39ee-4bb1-8493-e821716ce53c,2.75,111,990fbf6b-c811-4dc2-843e-039a4482e618,3.0,0.0003995480408034196
457,f46b74dd-a677-4b79-a188-01e7574a373f,2.5,4,9b80db6e-2c8f-4e9d-8ab7-32dbd6ac2c41,4.0,0.0002650481073612918
499,eea19bfa-dc63-43cf-99cf-c86c0eb6ed3b,4.35,143,484876ba-3c1d-41b7-8776-fc4648d0fa47,3.0,1.5221709448980115e-12
500,4116920a-4a76-41f9-a037-87231cadca22,0.79,143,484876ba-3c1d-41b7-8776-fc4648d0fa47,3.0,1.5221709448980115e-12
501,126a46ba-1b74-4068-a780-8aff0f74e03e,2.6,143,484876ba-3c1d-41b7-8776-fc4648d0fa47,3.0,1.5221709448980115e-12
512,53588822-dc78-409d-a1ed-dbc2409355f4,2.83,420,24c5117d-3033-4af9-8b2e-967f7273f0d2,3.0,0.0005530963314194269
513,db72601f-e765-4212-906f-c4c98c148d4a,1.75,114,1a24d011-a8e0-44b9-8d66-5d3f841f4403,4.0,0.00010354318445884626
514,d2ab7790-d0e5-4336-8991-48d9321949ad,2.79,9,5e7b37d6-f32e-423c-8b0a-adcc0c9ebd69,4.0,0.0010757384844601735
